promesa_id,gestion_id,factura_id,cliente_id,fecha_promesa,fecha_compromiso,se_cumplio
PRO000084,GES000860,FAC000377,CLI0140,2023-05-29,2023-07-06,0
PRO000085,GES000866,FAC000379,CLI0199,2023-07-23,2023-07-31,0
PRO000086,GES000871,FAC000381,CLI0017,2023-06-04,2023-09-06,1
PRO000087,GES000873,FAC000381,CLI0017,2023-07-06,2023-09-05,1
PRO000088,GES000875,FAC000381,CLI0017,2023-07-19,2023-09-09,1
PRO000089,GES000887,FAC000386,CLI0161,2023-07-25,2023-07-29,0
PRO000090,GES000893,FAC000387,CLI0187,2023-04-27,2023-05-09,0
PRO000091,GES000899,FAC000391,CLI0042,2023-04-14,2023-05-10,0
PRO000092,GES000928,FAC000401,CLI0192,2023-05-08,2023-05-09,0
PRO000093,GES000931,FAC000404,CLI0098,2023-03-21,2023-03-31,0
PRO000094,GES000939,FAC000411,CLI0029,2023-05-12,2023-07-05,1
PRO000095,GES000948,FAC000415,CLI0108,2023-04-07,2023-05-11,0
PRO000096,GES000951,FAC000415,CLI0108,2023-04-19,2023-04-28,0
PRO000097,GES000952,FAC000415,CLI0108,2023-04-21,2023-05-14,0
PRO000098,GES000954,FAC000416,CLI0131,2023-05-05,2023-08-07,1
PRO000099,GES000959,FAC000417,CLI0135,2023-03-11,2023-06-29,0
PRO000100,GES000970,FAC000420,CLI0042,2023-05-04,2023-05-07,0
PRO000101,GES000972,FAC000422,CLI0116,2023-04-09,2023-04-15,0
PRO000102,GES000974,FAC000424,CLI0195,2023-05-06,2023-05-07,1
PRO000103,GES000989,FAC000427,CLI0087,2023-06-18,2023-06-19,1
PRO000104,GES000991,FAC000429,CLI0167,2023-03-15,2023-04-03,0
PRO000105,GES000993,FAC000433,CLI0037,2023-05-10,2023-05-13,0
PRO000106,GES000997,FAC000434,CLI0082,2023-06-28,2023-07-18,0
PRO000107,GES001008,FAC000436,CLI0103,2023-04-09,2023-04-30,0
PRO000108,GES001009,FAC000436,CLI0103,2023-04-23,2023-04-26,0
PRO000109,GES001017,FAC000443,CLI0126,2023-06-12,2023-06-22,0
PRO000110,GES001065,FAC000466,CLI0059,2023-06-19,2023-07-15,1
PRO000111,GES001067,FAC000468,CLI0151,2023-06-12,2023-07-09,1
PRO000112,GES001071,FAC000471,CLI0048,2023-04-13,2023-04-24,0
PRO000113,GES001088,FAC000474,CLI0116,2023-07-17,2023-09-01,0
PRO000114,GES001090,FAC000474,CLI0116,2023-07-21,2023-07-25,0
PRO000115,GES001093,FAC000476,CLI0171,2023-04-12,2023-05-15,1
PRO000116,GES001099,FAC000479,CLI0066,2023-04-14,2023-04-29,1
PRO000117,GES001103,FAC000481,CLI0086,2023-04-02,2023-04-10,0
PRO000118,GES001124,FAC000491,CLI0162,2023-04-03,2023-04-19,0
PRO000119,GES001147,FAC000503,CLI0034,2023-06-26,2023-07-14,0
PRO000120,GES001166,FAC000511,CLI0087,2023-08-10,2023-09-29,1
PRO000121,GES001178,FAC000516,CLI0187,2023-04-04,2023-05-21,1
PRO000122,GES001179,FAC000517,CLI0200,2023-04-19,2023-05-17,0
PRO000123,GES001185,FAC000518,CLI0026,2023-04-08,2023-04-23,0
PRO000124,GES001225,FAC000536,CLI0138,2023-05-09,2023-06-20,0
PRO000125,GES001227,FAC000536,CLI0138,2023-05-28,2023-06-26,1
PRO000126,GES001238,FAC000538,CLI0177,2023-06-09,2023-08-01,1
PRO000127,GES001258,FAC000545,CLI0130,2023-04-22,2023-04-23,1
PRO000128,GES001267,FAC000546,CLI0138,2023-07-20,2023-07-25,0
PRO000129,GES001268,FAC000547,CLI0200,2023-05-15,2023-05-19,0
PRO000130,GES001271,FAC000547,CLI0200,2023-06-05,2023-06-19,1
PRO000131,GES001275,FAC000548,CLI0010,2023-07-12,2023-08-03,0
PRO000132,GES001279,FAC000551,CLI0186,2023-05-12,2023-05-13,0
PRO000133,GES001280,FAC000552,CLI0200,2023-05-04,2023-06-23,0
PRO000134,GES001287,FAC000553,CLI0018,2023-05-12,2023-05-28,1
PRO000135,GES001289,FAC000556,CLI0070,2023-04-30,2023-05-25,1
PRO000136,GES001295,FAC000557,CLI0126,2023-05-25,2023-08-10,1
PRO000137,GES001325,FAC000564,CLI0116,2023-06-21,2023-06-25,0
PRO000138,GES001328,FAC000568,CLI0168,2023-04-27,2023-05-24,1
PRO000139,GES001332,FAC000573,CLI0029,2023-05-14,2023-05-23,0
PRO000140,GES001354,FAC000583,CLI0116,2023-06-11,2023-07-17,1
PRO000141,GES001356,FAC000583,CLI0116,2023-07-05,2023-07-06,0
PRO000142,GES001378,FAC000596,CLI0001,2023-07-03,2023-07-10,0
PRO000143,GES001388,FAC000602,CLI0061,2023-04-25,2023-04-30,1
PRO000144,GES001421,FAC000622,CLI0052,2023-04-30,2023-05-01,0
PRO000145,GES001424,FAC000625,CLI0086,2023-04-17,2023-06-14,1
PRO000146,GES001435,FAC000629,CLI0197,2023-08-18,2023-09-04,1
PRO000147,GES001443,FAC000634,CLI0066,2023-05-28,2023-05-31,0
PRO000148,GES001444,FAC000635,CLI0111,2023-07-03,2023-08-02,1
PRO000149,GES001447,FAC000637,CLI0140,2023-05-26,2023-07-09,1
PRO000150,GES001459,FAC000640,CLI0010,2023-06-06,2023-06-17,0
PRO000151,GES001463,FAC000644,CLI0052,2023-05-31,2023-06-11,0
PRO000152,GES001466,FAC000644,CLI0052,2023-06-25,2023-06-29,1
PRO000153,GES001473,FAC000645,CLI0095,2023-07-17,2023-08-02,0
PRO000154,GES001482,FAC000646,CLI0096,2023-07-01,2023-08-09,1
PRO000155,GES001495,FAC000651,CLI0114,2023-06-19,2023-07-03,0
PRO000156,GES001497,FAC000651,CLI0114,2023-06-29,2023-07-26,1
PRO000157,GES001511,FAC000655,CLI0003,2023-06-13,2023-06-23,0
PRO000158,GES001541,FAC000666,CLI0187,2023-07-02,2023-07-03,1
PRO000159,GES001543,FAC000668,CLI0142,2023-04-23,2023-06-10,1
PRO000160,GES001554,FAC000677,CLI0187,2023-06-07,2023-08-09,1
PRO000161,GES001560,FAC000679,CLI0053,2023-05-25,2023-05-26,0
PRO000162,GES001563,FAC000681,CLI0095,2023-05-31,2023-08-27,1
PRO000163,GES001566,FAC000681,CLI0095,2023-08-21,2023-08-25,0
PRO000164,GES001567,FAC000683,CLI0128,2023-04-20,2023-05-02,0
PRO000165,GES001576,FAC000684,CLI0154,2023-06-24,2023-06-25,0
PRO000166,GES001580,FAC000687,CLI0024,2023-05-30,2023-06-19,1
PRO000167,GES001584,FAC000688,CLI0041,2023-07-11,2023-07-12,1
PRO000168,GES001623,FAC000703,CLI0198,2023-06-04,2023-07-12,0
PRO000169,GES001637,FAC000708,CLI0157,2023-05-18,2023-05-29,0
PRO000170,GES001657,FAC000712,CLI0127,2023-06-13,2023-07-08,0
PRO000171,GES001687,FAC000726,CLI0021,2023-05-27,2023-06-19,1
PRO000172,GES001691,FAC000731,CLI0200,2023-05-03,2023-05-04,0
PRO000173,GES001693,FAC000731,CLI0200,2023-06-05,2023-07-12,0
PRO000174,GES001697,FAC000734,CLI0095,2023-04-19,2023-06-14,0
PRO000175,GES001709,FAC000738,CLI0156,2023-05-30,2023-06-07,1
PRO000176,GES001722,FAC000747,CLI0024,2023-05-05,2023-07-05,1
PRO000177,GES001741,FAC000750,CLI0008,2023-08-21,2023-08-30,1
PRO000178,GES001749,FAC000755,CLI0113,2023-07-09,2023-08-02,0
PRO000179,GES001755,FAC000759,CLI0042,2023-06-20,2023-08-04,1
PRO000180,GES001757,FAC000759,CLI0042,2023-07-13,2023-07-31,1
PRO000181,GES001779,FAC000765,CLI0187,2023-09-15,2023-09-27,0
PRO000182,GES001791,FAC000770,CLI0176,2023-06-06,2023-09-16,1
PRO000183,GES001802,FAC000783,CLI0068,2023-05-31,2023-07-16,0
PRO000184,GES001804,FAC000783,CLI0068,2023-07-09,2023-07-22,0
PRO000185,GES001812,FAC000784,CLI0075,2023-05-11,2023-05-22,0
PRO000186,GES001819,FAC000788,CLI0171,2023-07-16,2023-11-01,0
PRO000187,GES001827,FAC000790,CLI0053,2023-04-29,2023-06-18,0
PRO000188,GES001847,FAC000804,CLI0188,2023-06-11,2023-06-12,0
PRO000189,GES001857,FAC000806,CLI0003,2023-05-23,2023-07-27,1
PRO000190,GES001876,FAC000814,CLI0024,2023-07-04,2023-08-27,1
PRO000191,GES001877,FAC000814,CLI0024,2023-07-05,2023-08-24,0
PRO000192,GES001879,FAC000814,CLI0024,2023-07-29,2023-08-15,0
PRO000193,GES001880,FAC000814,CLI0024,2023-08-05,2023-08-26,1
PRO000194,GES001881,FAC000815,CLI0044,2023-07-31,2023-08-26,0
PRO000195,GES001887,FAC000816,CLI0062,2023-06-28,2023-07-16,0
PRO000196,GES001888,FAC000816,CLI0062,2023-07-01,2023-07-24,0
PRO000197,GES001892,FAC000817,CLI0116,2023-08-26,2023-08-28,0
PRO000198,GES001900,FAC000821,CLI0131,2023-07-31,2023-09-29,1
PRO000199,GES001902,FAC000821,CLI0131,2023-08-25,2023-09-28,1
PRO000200,GES001912,FAC000831,CLI0071,2023-07-01,2023-09-07,0
PRO000201,GES001917,FAC000831,CLI0071,2023-08-26,2023-09-12,1
PRO000202,GES001931,FAC000837,CLI0003,2023-08-28,2023-09-26,1
PRO000203,GES001976,FAC000856,CLI0049,2023-07-29,2023-10-21,1
PRO000204,GES002002,FAC000866,CLI0012,2023-07-02,2023-07-22,1
PRO000205,GES002008,FAC000867,CLI0070,2023-08-25,2023-09-05,0
PRO000206,GES002011,FAC000867,CLI0070,2023-10-14,2023-10-22,0
PRO000207,GES002013,FAC000868,CLI0083,2023-07-26,2023-07-28,1
PRO000208,GES002014,FAC000869,CLI0086,2023-06-11,2023-07-16,1
PRO000209,GES002019,FAC000870,CLI0120,2023-06-22,2023-10-23,1
PRO000210,GES002022,FAC000870,CLI0120,2023-07-23,2023-10-20,1
PRO000211,GES002023,FAC000870,CLI0120,2023-08-08,2023-10-22,1
PRO000212,GES002028,FAC000871,CLI0130,2023-08-05,2023-08-07,0
PRO000213,GES002039,FAC000874,CLI0038,2023-06-07,2023-07-06,1
PRO000214,GES002042,FAC000875,CLI0044,2023-07-14,2023-07-26,0
PRO000215,GES002063,FAC000880,CLI0143,2023-07-04,2023-07-28,1
PRO000216,GES002067,FAC000882,CLI0187,2023-06-07,2023-06-15,0
PRO000217,GES002080,FAC000887,CLI0098,2023-07-24,2023-08-04,1
PRO000218,GES002083,FAC000889,CLI0178,2023-05-31,2023-06-02,0
PRO000219,GES002094,FAC000894,CLI0114,2023-05-21,2023-10-04,1
PRO000220,GES002101,FAC000898,CLI0026,2023-07-11,2023-07-16,0
PRO000221,GES002105,FAC000898,CLI0026,2023-08-14,2023-09-05,0
PRO000222,GES002106,FAC000898,CLI0026,2023-09-01,2023-09-02,0
PRO000223,GES002118,FAC000906,CLI0167,2023-06-08,2023-06-09,0
PRO000224,GES002122,FAC000908,CLI0013,2023-08-31,2023-09-05,0
PRO000225,GES002126,FAC000910,CLI0105,2023-05-22,2023-10-16,0
PRO000226,GES002127,FAC000910,CLI0105,2023-05-23,2023-11-06,0
PRO000227,GES002147,FAC000917,CLI0167,2023-07-20,2023-07-23,0
PRO000228,GES002152,FAC000918,CLI0171,2023-07-15,2023-09-28,1
PRO000229,GES002159,FAC000919,CLI0013,2023-06-27,2023-07-05,0
PRO000230,GES002165,FAC000923,CLI0154,2023-06-29,2023-06-30,1
PRO000231,GES002166,FAC000924,CLI0167,2023-08-16,2023-08-23,0
PRO000232,GES002167,FAC000924,CLI0167,2023-09-01,2023-09-04,0
PRO000233,GES002177,FAC000929,CLI0061,2023-06-30,2023-07-12,1
PRO000234,GES002179,FAC000932,CLI0093,2023-08-07,2023-09-08,0
PRO000235,GES002181,FAC000932,CLI0093,2023-08-30,2023-09-04,0
PRO000236,GES002191,FAC000934,CLI0003,2023-08-27,2023-09-16,0
PRO000237,GES002206,FAC000942,CLI0040,2023-07-03,2023-08-18,1
PRO000238,GES002211,FAC000943,CLI0042,2023-08-27,2023-08-30,0
PRO000239,GES002213,FAC000947,CLI0108,2023-07-03,2023-08-10,0
PRO000240,GES002214,FAC000947,CLI0108,2023-07-24,2023-08-19,0
PRO000241,GES002238,FAC000956,CLI0128,2023-05-31,2023-07-15,0
PRO000242,GES002241,FAC000956,CLI0128,2023-08-22,2023-08-23,0
PRO000243,GES002252,FAC000962,CLI0075,2023-05-27,2023-08-13,1
PRO000244,GES002261,FAC000964,CLI0099,2023-06-22,2023-07-04,1
PRO000245,GES002263,FAC000966,CLI0154,2023-07-24,2023-09-18,1
PRO000246,GES002272,FAC000969,CLI0012,2023-06-21,2023-06-27,0
PRO000247,GES002283,FAC000970,CLI0051,2023-09-08,2023-11-27,0
PRO000248,GES002289,FAC000971,CLI0054,2023-07-23,2023-07-24,0
PRO000249,GES002292,FAC000972,CLI0055,2023-06-27,2023-07-07,0
PRO000250,GES002295,FAC000974,CLI0137,2023-06-19,2023-06-24,1
PRO000251,GES002302,FAC000977,CLI0051,2023-09-04,2023-11-03,1
PRO000252,GES002314,FAC000983,CLI0010,2023-07-25,2023-07-26,1
PRO000253,GES002317,FAC000988,CLI0138,2023-07-10,2023-07-27,1
PRO000254,GES002322,FAC000989,CLI0187,2023-08-07,2023-10-04,0
PRO000255,GES002342,FAC000997,CLI0119,2023-08-12,2023-08-18,0
PRO000256,GES002343,FAC000997,CLI0119,2023-08-15,2023-09-13,0
PRO000257,GES002344,FAC000997,CLI0119,2023-09-11,2023-09-24,1
PRO000258,GES002363,FAC001006,CLI0140,2023-07-12,2023-07-21,0
PRO000259,GES002368,FAC001008,CLI0175,2023-05-29,2023-06-12,0
PRO000260,GES002369,FAC001010,CLI0037,2023-06-21,2023-07-23,1
PRO000261,GES002372,FAC001012,CLI0086,2023-08-05,2023-09-08,1
PRO000262,GES002377,FAC001014,CLI0128,2023-09-01,2023-09-30,0
PRO000263,GES002388,FAC001019,CLI0185,2023-06-18,2023-06-19,0
PRO000264,GES002418,FAC001032,CLI0127,2023-09-01,2023-10-25,1
PRO000265,GES002424,FAC001034,CLI0155,2023-10-06,2023-10-15,0
PRO000266,GES002426,FAC001034,CLI0155,2023-10-18,2023-10-20,0
PRO000267,GES002436,FAC001040,CLI0105,2023-06-11,2023-08-15,1
PRO000268,GES002438,FAC001040,CLI0105,2023-07-13,2023-07-22,0
PRO000269,GES002450,FAC001043,CLI0126,2023-09-06,2023-09-19,0
PRO000270,GES002454,FAC001044,CLI0138,2023-08-02,2023-08-22,0
PRO000271,GES002458,FAC001046,CLI0163,2023-07-08,2023-08-27,1
PRO000272,GES002463,FAC001047,CLI0036,2023-07-25,2023-09-11,0
PRO000273,GES002465,FAC001047,CLI0036,2023-09-05,2023-10-10,1
PRO000274,GES002466,FAC001047,CLI0036,2023-10-06,2023-10-08,0
PRO000275,GES002472,FAC001052,CLI0188,2023-06-08,2023-06-23,0
PRO000276,GES002476,FAC001056,CLI0077,2023-08-04,2023-08-31,0
PRO000277,GES002480,FAC001056,CLI0077,2023-09-24,2023-10-09,1
PRO000278,GES002495,FAC001063,CLI0197,2023-07-12,2023-07-19,0
PRO000279,GES002512,FAC001066,CLI0022,2023-08-05,2023-09-05,1
PRO000280,GES002522,FAC001068,CLI0042,2023-06-11,2023-06-19,0
PRO000281,GES002531,FAC001072,CLI0116,2023-09-13,2023-11-22,1
PRO000282,GES002540,FAC001075,CLI0010,2023-06-11,2023-08-05,1
PRO000283,GES002559,FAC001083,CLI0188,2023-06-09,2023-08-24,0
PRO000284,GES002571,FAC001090,CLI0102,2023-07-02,2023-08-03,1
PRO000285,GES002583,FAC001099,CLI0196,2023-07-09,2023-07-24,1
PRO000286,GES002585,FAC001100,CLI0060,2023-09-24,2023-10-17,1
PRO000287,GES002588,FAC001100,CLI0060,2023-10-05,2023-10-08,1
PRO000288,GES002589,FAC001100,CLI0060,2023-10-08,2023-10-09,1
PRO000289,GES002595,FAC001102,CLI0079,2023-09-21,2023-10-02,0
PRO000290,GES002599,FAC001103,CLI0085,2023-06-19,2023-08-18,1
PRO000291,GES002610,FAC001108,CLI0055,2023-09-04,2023-09-05,1
PRO000292,GES002617,FAC001112,CLI0192,2023-08-04,2023-08-18,1
PRO000293,GES002628,FAC001118,CLI0070,2023-07-15,2023-07-26,0
PRO000294,GES002634,FAC001118,CLI0070,2023-09-14,2023-09-28,0
PRO000295,GES002643,FAC001120,CLI0141,2023-09-09,2023-09-12,0
PRO000296,GES002656,FAC001128,CLI0155,2023-06-29,2023-08-02,0
PRO000297,GES002658,FAC001128,CLI0155,2023-09-10,2023-09-21,0
PRO000298,GES002664,FAC001129,CLI0164,2023-09-11,2023-11-01,1
PRO000299,GES002666,FAC001132,CLI0013,2023-08-15,2023-08-28,1
PRO000300,GES002670,FAC001136,CLI0097,2023-07-07,2023-08-21,0
PRO000301,GES002674,FAC001137,CLI0119,2023-08-16,2023-08-28,1
PRO000302,GES002675,FAC001139,CLI0166,2023-08-10,2023-09-25,0
PRO000303,GES002689,FAC001141,CLI0187,2023-06-23,2023-08-06,1
PRO000304,GES002701,FAC001144,CLI0083,2023-07-23,2023-08-03,0
PRO000305,GES002702,FAC001144,CLI0083,2023-08-06,2023-08-10,0
PRO000306,GES002725,FAC001149,CLI0182,2023-07-27,2023-08-03,0
PRO000307,GES002732,FAC001153,CLI0126,2023-06-27,2023-10-02,0
PRO000308,GES002737,FAC001156,CLI0171,2023-06-25,2023-07-05,0
PRO000309,GES002738,FAC001156,CLI0171,2023-07-13,2023-08-09,0
PRO000310,GES002756,FAC001162,CLI0146,2023-08-13,2023-08-30,1
PRO000311,GES002764,FAC001165,CLI0090,2023-09-14,2023-09-23,1
PRO000312,GES002765,FAC001165,CLI0090,2023-09-16,2023-09-28,1
PRO000313,GES002770,FAC001170,CLI0032,2023-07-15,2023-08-29,0
PRO000314,GES002771,FAC001171,CLI0045,2023-06-20,2023-08-30,1
PRO000315,GES002775,FAC001172,CLI0052,2023-08-15,2023-08-27,0
PRO000316,GES002788,FAC001175,CLI0191,2023-10-21,2023-10-22,1
PRO000317,GES002789,FAC001176,CLI0196,2023-07-09,2023-08-01,0
PRO000318,GES002790,FAC001176,CLI0196,2023-07-29,2023-09-12,1
PRO000319,GES002793,FAC001177,CLI0003,2023-08-12,2023-08-18,0
PRO000320,GES002794,FAC001177,CLI0003,2023-09-02,2023-09-06,1
PRO000321,GES002799,FAC001181,CLI0162,2023-07-13,2023-08-06,1
PRO000322,GES002800,FAC001181,CLI0162,2023-07-16,2023-08-07,1
PRO000323,GES002801,FAC001181,CLI0162,2023-07-25,2023-08-06,1
PRO000324,GES002805,FAC001184,CLI0024,2023-09-19,2023-10-01,0
PRO000325,GES002808,FAC001185,CLI0040,2023-09-18,2023-10-08,0
PRO000326,GES002811,FAC001189,CLI0183,2023-07-14,2023-07-18,0
PRO000327,GES002814,FAC001190,CLI0034,2023-09-26,2023-10-02,0
PRO000328,GES002820,FAC001192,CLI0044,2023-08-31,2023-09-02,0
PRO000329,GES002835,FAC001198,CLI0128,2023-10-02,2023-11-13,1
PRO000330,GES002852,FAC001205,CLI0110,2023-07-14,2023-07-16,1
PRO000331,GES002864,FAC001207,CLI0126,2023-10-19,2023-10-23,0
PRO000332,GES002865,FAC001207,CLI0126,2023-10-20,2023-10-22,0
PRO000333,GES002868,FAC001208,CLI0171,2023-09-23,2023-09-24,1
PRO000334,GES002876,FAC001213,CLI0141,2023-08-02,2023-08-04,0
PRO000335,GES002884,FAC001217,CLI0200,2023-09-17,2023-09-21,1
PRO000336,GES002895,FAC001223,CLI0070,2023-06-25,2023-10-01,0
PRO000337,GES002910,FAC001226,CLI0087,2023-07-21,2023-07-23,0
PRO000338,GES002911,FAC001227,CLI0122,2023-08-01,2023-08-08,1
PRO000339,GES002933,FAC001232,CLI0185,2023-08-28,2023-08-29,0
PRO000340,GES002934,FAC001233,CLI0200,2023-09-11,2023-09-25,1
PRO000341,GES002935,FAC001233,CLI0200,2023-09-18,2023-09-19,0
PRO000342,GES002936,FAC001234,CLI0027,2023-09-25,2023-10-08,1
PRO000343,GES002947,FAC001237,CLI0140,2023-10-19,2023-10-20,0
PRO000344,GES002948,FAC001238,CLI0155,2023-07-24,2023-09-12,0
PRO000345,GES002955,FAC001240,CLI0197,2023-08-21,2023-09-03,0
PRO000346,GES002956,FAC001240,CLI0197,2023-09-02,2023-09-03,0
PRO000347,GES002961,FAC001241,CLI0004,2023-08-20,2023-09-05,1
PRO000348,GES002969,FAC001245,CLI0138,2023-09-04,2023-09-19,1
PRO000349,GES002975,FAC001250,CLI0073,2023-10-07,2023-11-04,1
PRO000350,GES002978,FAC001251,CLI0086,2023-07-26,2023-08-19,0
PRO000351,GES002996,FAC001258,CLI0177,2023-08-30,2023-08-31,0
PRO000352,GES003003,FAC001262,CLI0163,2023-09-22,2023-09-23,1
PRO000353,GES003009,FAC001263,CLI0186,2023-09-29,2023-10-05,1
PRO000354,GES003021,FAC001266,CLI0039,2023-09-01,2023-09-18,0
PRO000355,GES003022,FAC001266,CLI0039,2023-09-08,2023-09-09,0
PRO000356,GES003026,FAC001270,CLI0127,2023-08-14,2023-08-15,0
