factura_id,cliente_id,num_corte,fecha_corte,monto,condicion_dias,antiguedad_meses,tiene_garantia,sector_retail,sector_manufactura,sector_servicios,sector_construccion,sector_agro,sector_tecnologia,sector_salud,sector_transporte,num_facturas_prev,mora_promedio_hist,mora_ultimo_tramo,tasa_cumplimiento,monto_promedio_hist,ratio_monto,moras_consecutivas,num_gestiones_factura,dias_desde_ultima_gestion,dias_desde_emision,dias_hasta_vence,tasa_contacto_cliente,ultimo_resultado_enc,num_no_contesta_cons,tiene_disputa_activa,tiene_promesa_activa,num_promesas_rotas,tasa_cumpl_promesas,promesas_total,target
FAC000596,CLI0001,1,2023-05-24,27979.7,90,17,1,0,0,0,0,1,0,0,0,2,0.0,0.0,1.0,22199.78,1.2604,0,1,56.0,56,34,0.3333,7.0,1,0,0,0,1.0,0,+60
FAC000596,CLI0001,2,2023-07-02,27979.7,90,17,1,0,0,0,0,1,0,0,0,2,0.0,0.0,1.0,22199.78,1.2604,0,2,39.0,95,-5,0.3333,3.0,0,0,0,0,1.0,0,+60
FAC000596,CLI0001,3,2023-07-03,27979.7,90,17,1,0,0,0,0,1,0,0,0,2,0.0,0.0,1.0,22199.78,1.2604,0,3,1.0,96,-6,0.3333,2.0,0,0,1,0,1.0,0,+60
FAC001362,CLI0001,0,2023-07-06,26894.44,60,17,1,0,0,0,0,1,0,0,0,3,53.5,53.5,0.0,24126.42,1.1147,0,0,,0,60,0.5833,,0,0,0,1,0.0,2,+30
FAC001362,CLI0001,1,2023-09-11,26894.44,60,17,1,0,0,0,0,1,0,0,0,3,53.5,53.5,0.0,24126.42,1.1147,0,1,67.0,67,-7,0.5833,6.0,1,0,0,1,0.0,2,+30
FAC001362,CLI0001,2,2023-09-12,26894.44,60,17,1,0,0,0,0,1,0,0,0,3,53.5,53.5,0.0,24126.42,1.1147,0,2,1.0,68,-8,0.5833,6.0,2,0,0,1,0.0,2,+30
FAC001435,CLI0001,0,2023-07-15,19457.16,60,17,1,0,0,0,0,1,0,0,0,4,53.5,53.5,0.0,24818.43,0.784,0,0,,0,60,0.5833,,0,0,0,2,0.0,2,on_time
FAC001590,CLI0001,0,2023-08-06,17594.65,60,17,1,0,0,0,0,1,0,0,0,5,53.5,53.5,0.0,23746.17,0.7409,0,0,,0,60,0.5833,,0,0,0,2,0.0,2,+30
FAC001590,CLI0001,1,2023-10-13,17594.65,60,17,1,0,0,0,0,1,0,0,0,5,53.5,53.5,0.0,23746.17,0.7409,0,1,68.0,68,-8,0.5833,1.0,0,0,0,2,0.0,2,+30
FAC001775,CLI0001,0,2023-09-04,14720.61,60,17,1,0,0,0,0,1,0,0,0,6,52.33,52.33,0.0,22720.92,0.6479,0,0,,0,60,0.5833,,0,0,0,2,0.0,2,on_time
FAC001775,CLI0001,1,2023-09-25,14720.61,60,17,1,0,0,0,0,1,0,0,0,6,52.33,52.33,0.0,22720.92,0.6479,0,1,21.0,21,39,0.5833,7.0,1,0,0,2,0.0,2,on_time
FAC001782,CLI0001,0,2023-09-05,11565.74,90,17,1,0,0,0,0,1,0,0,0,7,52.33,52.33,0.0,21578.02,0.536,0,0,,0,90,0.5833,,0,0,0,2,0.0,2,on_time
FAC001901,CLI0001,0,2023-09-22,9990.98,60,17,1,0,0,0,0,1,0,0,0,8,34.6,22.0,0.2,20326.48,0.4915,0,0,,0,60,0.5,,0,0,0,2,0.0,2,+30
FAC001901,CLI0001,1,2023-11-24,9990.98,60,17,1,0,0,0,0,1,0,0,0,8,34.6,22.0,0.2,20326.48,0.4915,0,1,63.0,63,-3,0.5,3.0,0,0,0,2,0.0,2,+30
FAC002019,CLI0001,0,2023-10-10,13306.37,45,17,1,0,0,0,0,1,0,0,0,9,34.6,22.0,0.2,19178.09,0.6938,0,0,,0,45,0.4667,,0,0,0,2,0.0,2,+30
FAC002019,CLI0001,1,2023-11-25,13306.37,45,17,1,0,0,0,0,1,0,0,0,9,34.6,22.0,0.2,19178.09,0.6938,0,1,46.0,46,-1,0.4667,3.0,0,0,0,2,0.0,2,+30
FAC002019,CLI0001,2,2023-11-27,13306.37,45,17,1,0,0,0,0,1,0,0,0,9,34.6,22.0,0.2,19178.09,0.6938,0,2,2.0,48,-3,0.4667,6.0,1,0,0,2,0.0,2,+30
FAC002019,CLI0001,3,2023-12-01,13306.37,45,17,1,0,0,0,0,1,0,0,0,9,34.6,22.0,0.2,19178.09,0.6938,0,3,4.0,52,-7,0.4667,6.0,2,0,0,2,0.0,2,+30
FAC002054,CLI0001,0,2023-10-14,8470.1,45,17,1,0,0,0,0,1,0,0,0,10,34.6,22.0,0.2,18590.92,0.4556,0,0,,0,45,0.5,,0,0,0,2,0.0,2,on_time
FAC002402,CLI0001,0,2023-11-29,11783.49,90,17,1,0,0,0,0,1,0,0,0,11,22.78,1.0,0.3333,17670.85,0.6668,0,0,,0,90,0.5263,,0,0,0,2,0.0,2,on_time
FAC002402,CLI0001,1,2024-02-05,11783.49,90,17,1,0,0,0,0,1,0,0,0,11,22.78,1.0,0.3333,17670.85,0.6668,0,1,68.0,68,22,0.5263,1.0,0,0,0,2,0.0,2,on_time
FAC002483,CLI0001,0,2023-12-11,39239.91,60,17,1,0,0,0,0,1,0,0,0,12,19.45,4.0,0.3636,17180.23,2.284,0,0,,0,60,0.5,,0,0,0,2,0.0,2,+30
FAC002483,CLI0001,1,2024-02-13,39239.91,60,17,1,0,0,0,0,1,0,0,0,12,19.45,4.0,0.3636,17180.23,2.284,0,1,64.0,64,-4,0.5,2.0,0,0,1,2,0.0,2,+30
FAC002483,CLI0001,2,2024-02-16,39239.91,60,17,1,0,0,0,0,1,0,0,0,12,19.45,4.0,0.3636,17180.23,2.284,0,2,3.0,67,-7,0.5,6.0,1,0,1,2,0.0,2,+30
FAC002512,CLI0001,0,2023-12-15,12553.61,45,17,1,0,0,0,0,1,0,0,0,13,19.45,4.0,0.3636,18877.13,0.665,0,0,,0,45,0.5,,0,0,0,2,0.0,2,+60
FAC002512,CLI0001,1,2024-01-22,12553.61,45,17,1,0,0,0,0,1,0,0,0,13,19.45,4.0,0.3636,18877.13,0.665,0,1,38.0,38,7,0.5,1.0,0,0,0,2,0.0,2,+60
FAC002512,CLI0001,2,2024-02-02,12553.61,45,17,1,0,0,0,0,1,0,0,0,13,19.45,4.0,0.3636,18877.13,0.665,0,2,11.0,49,-4,0.5,1.0,0,0,0,2,0.0,2,+60
FAC002512,CLI0001,3,2024-02-19,12553.61,45,17,1,0,0,0,0,1,0,0,0,13,19.45,4.0,0.3636,18877.13,0.665,0,3,17.0,66,-21,0.5,0.0,0,0,0,2,0.0,2,+60
FAC002512,CLI0001,4,2024-03-04,12553.61,45,17,1,0,0,0,0,1,0,0,0,13,19.45,4.0,0.3636,18877.13,0.665,0,4,14.0,80,-35,0.5,0.0,0,0,0,2,0.0,2,+60
FAC002624,CLI0001,0,2023-12-30,7998.22,60,17,1,0,0,0,0,1,0,0,0,14,19.45,4.0,0.3636,18425.45,0.4341,0,0,,0,60,0.5,,0,0,0,2,0.0,2,+60
FAC002624,CLI0001,1,2024-01-09,7998.22,60,17,1,0,0,0,0,1,0,0,0,14,19.45,4.0,0.3636,18425.45,0.4341,0,1,10.0,10,50,0.5,2.0,0,0,1,2,0.0,2,+60
FAC002624,CLI0001,2,2024-03-01,7998.22,60,17,1,0,0,0,0,1,0,0,0,14,19.45,4.0,0.3636,18425.45,0.4341,0,2,52.0,62,-2,0.5,0.0,0,0,1,2,0.0,2,+60
FAC002624,CLI0001,3,2024-03-06,7998.22,60,17,1,0,0,0,0,1,0,0,0,14,19.45,4.0,0.3636,18425.45,0.4341,0,3,5.0,67,-7,0.5,7.0,1,0,1,2,0.0,2,+60
FAC002624,CLI0001,4,2024-03-26,7998.22,60,17,1,0,0,0,0,1,0,0,0,14,19.45,4.0,0.3636,18425.45,0.4341,0,4,20.0,87,-27,0.5,7.0,2,0,0,2,0.0,2,+60
FAC002624,CLI0001,5,2024-04-07,7998.22,60,17,1,0,0,0,0,1,0,0,0,14,19.45,4.0,0.3636,18425.45,0.4341,0,5,12.0,99,-39,0.5,5.0,3,0,0,2,0.0,2,+60
FAC002624,CLI0001,6,2024-04-14,7998.22,60,17,1,0,0,0,0,1,0,0,0,14,19.45,4.0,0.3636,18425.45,0.4341,0,6,7.0,106,-46,0.5,3.0,0,0,0,2,0.0,2,+60
FAC002810,CLI0001,0,2024-01-24,28612.72,30,17,1,0,0,0,0,1,0,0,0,15,19.45,4.0,0.3636,17730.3,1.6138,0,0,,0,30,0.5455,,0,0,0,2,0.0,3,+30
FAC002810,CLI0001,1,2024-02-08,28612.72,30,17,1,0,0,0,0,1,0,0,0,15,19.45,4.0,0.3636,17730.3,1.6138,0,1,15.0,15,15,0.5455,6.0,1,0,0,2,0.0,3,+30
FAC002810,CLI0001,2,2024-03-05,28612.72,30,17,1,0,0,0,0,1,0,0,0,15,19.45,4.0,0.3636,17730.3,1.6138,0,2,26.0,41,-11,0.5455,6.0,2,0,0,2,0.0,3,+30
FAC002810,CLI0001,3,2024-03-06,28612.72,30,17,1,0,0,0,0,1,0,0,0,15,19.45,4.0,0.3636,17730.3,1.6138,0,3,1.0,42,-12,0.5455,3.0,0,0,0,2,0.0,3,+30
FAC003014,CLI0001,0,2024-02-21,11698.14,45,17,1,0,0,0,0,1,0,0,0,16,19.45,4.0,0.3636,18410.45,0.6354,0,0,,0,45,0.5714,,0,0,0,2,0.0,4,on_time
FAC003549,CLI0001,0,2024-05-02,22581.0,30,17,1,0,0,0,0,1,0,0,0,17,19.47,21.0,0.3529,18015.61,1.2534,0,0,,0,30,0.5556,,0,0,0,3,0.25,4,+30
FAC003549,CLI0001,1,2024-05-08,22581.0,30,17,1,0,0,0,0,1,0,0,0,17,19.47,21.0,0.3529,18015.61,1.2534,0,1,6.0,6,24,0.5556,1.0,0,0,0,3,0.25,4,+30
FAC003549,CLI0001,2,2024-06-12,22581.0,30,17,1,0,0,0,0,1,0,0,0,17,19.47,21.0,0.3529,18015.61,1.2534,0,2,35.0,41,-11,0.5556,2.0,0,0,1,3,0.25,4,+30
FAC003549,CLI0001,3,2024-06-18,22581.0,30,17,1,0,0,0,0,1,0,0,0,17,19.47,21.0,0.3529,18015.61,1.2534,0,3,6.0,47,-17,0.5556,2.0,0,0,1,3,0.25,4,+30
FAC003638,CLI0001,0,2024-05-14,25876.92,45,17,1,0,0,0,0,1,0,0,0,18,19.47,21.0,0.3529,18269.25,1.4164,0,0,,0,45,0.5676,,0,0,0,3,0.25,4,+30
FAC003638,CLI0001,1,2024-06-25,25876.92,45,17,1,0,0,0,0,1,0,0,0,18,19.47,21.0,0.3529,18269.25,1.4164,0,1,42.0,42,3,0.5676,6.0,1,0,0,3,0.25,4,+30
FAC003638,CLI0001,2,2024-07-18,25876.92,45,17,1,0,0,0,0,1,0,0,0,18,19.47,21.0,0.3529,18269.25,1.4164,0,2,23.0,65,-20,0.5676,6.0,2,0,0,3,0.25,4,+30
FAC003647,CLI0001,0,2024-05-15,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,0,,0,90,0.5676,,0,0,0,3,0.25,4,+90
FAC003647,CLI0001,1,2024-07-13,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,1,59.0,59,31,0.5676,2.0,0,0,1,3,0.25,4,+90
FAC003647,CLI0001,2,2024-08-23,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,2,41.0,100,-10,0.5676,6.0,1,0,1,3,0.25,4,+90
FAC003647,CLI0001,3,2024-08-29,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,3,6.0,106,-16,0.5676,2.0,0,0,1,3,0.25,4,+90
FAC003647,CLI0001,4,2024-09-04,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,4,6.0,112,-22,0.5676,6.0,1,0,1,3,0.25,4,+90
FAC003647,CLI0001,5,2024-09-08,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,5,4.0,116,-26,0.5676,5.0,2,0,1,3,0.25,4,+90
FAC003647,CLI0001,6,2024-09-19,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,6,11.0,127,-37,0.5676,4.0,0,1,1,3,0.25,4,+90
FAC003647,CLI0001,7,2024-10-14,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,7,25.0,152,-62,0.5676,8.0,0,0,1,3,0.25,4,+90
FAC003647,CLI0001,8,2024-11-07,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,8,24.0,176,-86,0.5676,5.0,1,0,0,3,0.25,4,+90
FAC003647,CLI0001,9,2024-11-13,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,9,6.0,182,-92,0.5676,1.0,0,0,0,3,0.25,4,+90
FAC003647,CLI0001,10,2024-11-26,5000.92,90,17,1,0,0,0,0,1,0,0,0,19,19.47,21.0,0.3529,18669.65,0.2679,0,10,13.0,195,-105,0.5676,8.0,0,0,0,3,0.25,4,+90
FAC003663,CLI0001,0,2024-05-17,23388.5,30,17,1,0,0,0,0,1,0,0,0,20,19.47,21.0,0.3529,17986.21,1.3004,0,0,,0,30,0.5676,,0,0,0,3,0.25,4,+30
FAC003663,CLI0001,1,2024-06-20,23388.5,30,17,1,0,0,0,0,1,0,0,0,20,19.47,21.0,0.3529,17986.21,1.3004,0,1,34.0,34,-4,0.5676,6.0,1,0,0,3,0.25,4,+30
FAC003663,CLI0001,2,2024-06-22,23388.5,30,17,1,0,0,0,0,1,0,0,0,20,19.47,21.0,0.3529,17986.21,1.3004,0,2,2.0,36,-6,0.5676,6.0,2,0,0,3,0.25,4,+30
FAC003663,CLI0001,3,2024-06-24,23388.5,30,17,1,0,0,0,0,1,0,0,0,20,19.47,21.0,0.3529,17986.21,1.3004,0,3,2.0,38,-8,0.5676,6.0,3,0,0,3,0.25,4,+30
FAC003696,CLI0001,0,2024-05-21,19669.85,90,17,1,0,0,0,0,1,0,0,0,21,19.47,21.0,0.3529,18243.46,1.0782,0,0,,0,90,0.5676,,0,0,0,3,0.25,4,+60
FAC003696,CLI0001,1,2024-09-05,19669.85,90,17,1,0,0,0,0,1,0,0,0,21,19.47,21.0,0.3529,18243.46,1.0782,0,1,107.0,107,-17,0.5676,8.0,0,0,0,3,0.25,4,+60
FAC003696,CLI0001,2,2024-09-12,19669.85,90,17,1,0,0,0,0,1,0,0,0,21,19.47,21.0,0.3529,18243.46,1.0782,0,2,7.0,114,-24,0.5676,6.0,1,0,0,3,0.25,4,+60
FAC003696,CLI0001,3,2024-09-13,19669.85,90,17,1,0,0,0,0,1,0,0,0,21,19.47,21.0,0.3529,18243.46,1.0782,0,3,1.0,115,-25,0.5676,2.0,0,0,1,3,0.25,4,+60
FAC003696,CLI0001,4,2024-09-15,19669.85,90,17,1,0,0,0,0,1,0,0,0,21,19.47,21.0,0.3529,18243.46,1.0782,0,4,2.0,117,-27,0.5676,0.0,0,0,0,3,0.25,4,+60
FAC003696,CLI0001,5,2024-09-16,19669.85,90,17,1,0,0,0,0,1,0,0,0,21,19.47,21.0,0.3529,18243.46,1.0782,0,5,1.0,118,-28,0.5676,4.0,0,1,0,3,0.25,4,+60
FAC003696,CLI0001,6,2024-09-20,19669.85,90,17,1,0,0,0,0,1,0,0,0,21,19.47,21.0,0.3529,18243.46,1.0782,0,6,4.0,122,-32,0.5676,5.0,1,1,0,3,0.25,4,+60
FAC003832,CLI0001,0,2024-06-13,8190.18,60,17,1,0,0,0,0,1,0,0,0,22,19.47,21.0,0.3529,18308.3,0.4473,0,0,,0,60,0.5789,,0,0,0,3,0.25,5,+30
FAC003832,CLI0001,1,2024-06-29,8190.18,60,17,1,0,0,0,0,1,0,0,0,22,19.47,21.0,0.3529,18308.3,0.4473,0,1,16.0,16,44,0.5789,2.0,0,0,1,3,0.25,5,+30
FAC003832,CLI0001,2,2024-08-13,8190.18,60,17,1,0,0,0,0,1,0,0,0,22,19.47,21.0,0.3529,18308.3,0.4473,0,2,45.0,61,-1,0.5789,3.0,0,0,0,3,0.25,5,+30
FAC004135,CLI0001,0,2024-07-22,10846.66,30,17,1,0,0,0,0,1,0,0,0,23,19.05,10.33,0.3158,17868.38,0.607,0,0,,0,30,0.5435,,0,0,0,4,0.4286,8,+30
FAC004135,CLI0001,1,2024-08-22,10846.66,30,17,1,0,0,0,0,1,0,0,0,23,19.05,10.33,0.3158,17868.38,0.607,0,1,31.0,31,-1,0.5435,3.0,0,0,0,4,0.4286,8,+30
FAC004141,CLI0001,0,2024-07-23,5449.4,90,17,1,0,0,0,0,1,0,0,0,24,19.05,10.33,0.3158,17575.81,0.3101,0,0,,0,90,0.5435,,0,0,0,4,0.4286,8,on_time
FAC004141,CLI0001,1,2024-09-30,5449.4,90,17,1,0,0,0,0,1,0,0,0,24,19.05,10.33,0.3158,17575.81,0.3101,0,1,69.0,69,21,0.5435,3.0,0,0,0,4,0.4286,8,on_time
FAC004248,CLI0001,0,2024-08-06,16627.59,30,17,1,0,0,0,0,1,0,0,0,25,19.6,20.33,0.3,17090.75,0.9729,0,0,,0,30,0.5435,,0,0,0,4,0.4286,8,+60
FAC004248,CLI0001,1,2024-09-02,16627.59,30,17,1,0,0,0,0,1,0,0,0,25,19.6,20.33,0.3,17090.75,0.9729,0,1,27.0,27,3,0.5435,4.0,0,1,0,4,0.4286,8,+60
FAC004248,CLI0001,2,2024-09-16,16627.59,30,17,1,0,0,0,0,1,0,0,0,25,19.6,20.33,0.3,17090.75,0.9729,0,2,14.0,41,-11,0.5435,4.0,0,1,0,4,0.4286,8,+60
FAC004248,CLI0001,3,2024-10-12,16627.59,30,17,1,0,0,0,0,1,0,0,0,25,19.6,20.33,0.3,17090.75,0.9729,0,3,26.0,67,-37,0.5435,8.0,0,0,0,4,0.4286,8,+60
FAC004434,CLI0001,0,2024-09-02,23503.83,30,17,1,0,0,0,0,1,0,0,0,26,17.91,3.33,0.2727,17072.94,1.3767,0,0,,0,30,0.5686,,0,0,0,4,0.4286,9,+30
FAC004434,CLI0001,1,2024-10-17,23503.83,30,17,1,0,0,0,0,1,0,0,0,26,17.91,3.33,0.2727,17072.94,1.3767,0,1,45.0,45,-15,0.5686,1.0,0,0,0,4,0.4286,9,+30
FAC004534,CLI0001,0,2024-09-16,6917.35,30,17,1,0,0,0,0,1,0,0,0,27,17.91,3.33,0.2727,17311.12,0.3996,0,0,,0,30,0.5763,,0,0,0,5,0.375,10,on_time
FAC004797,CLI0001,0,2024-10-23,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,0,,0,60,0.6,,0,0,0,6,0.3333,10,+90
FAC004797,CLI0001,1,2025-01-02,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,1,71.0,71,-11,0.6,4.0,0,1,0,6,0.3333,10,+90
FAC004797,CLI0001,2,2025-01-03,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,2,1.0,72,-12,0.6,6.0,1,1,0,6,0.3333,10,+90
FAC004797,CLI0001,3,2025-01-04,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,3,1.0,73,-13,0.6,0.0,0,0,0,6,0.3333,10,+90
FAC004797,CLI0001,4,2025-01-18,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,4,14.0,87,-27,0.6,6.0,1,0,0,6,0.3333,10,+90
FAC004797,CLI0001,5,2025-01-22,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,5,4.0,91,-31,0.6,2.0,0,0,1,6,0.3333,10,+90
FAC004797,CLI0001,6,2025-01-28,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,6,6.0,97,-37,0.6,5.0,1,0,1,6,0.3333,10,+90
FAC004797,CLI0001,7,2025-02-01,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,7,4.0,101,-41,0.6,8.0,0,0,1,6,0.3333,10,+90
FAC004797,CLI0001,8,2025-02-14,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,8,13.0,114,-54,0.6,8.0,0,0,1,6,0.3333,10,+90
FAC004797,CLI0001,9,2025-03-06,4322.06,60,17,1,0,0,0,0,1,0,0,0,28,17.04,5.67,0.3077,16939.91,0.2551,0,9,20.0,134,-74,0.6,8.0,0,0,1,6,0.3333,10,+90
FAC004967,CLI0001,0,2024-11-15,5619.61,45,17,1,0,0,0,0,1,0,0,0,29,18.22,22.0,0.2963,16504.82,0.3405,0,0,,0,45,0.597,,0,0,0,6,0.3333,10,+90
FAC004967,CLI0001,1,2024-12-03,5619.61,45,17,1,0,0,0,0,1,0,0,0,29,18.22,22.0,0.2963,16504.82,0.3405,0,1,18.0,18,27,0.597,2.0,0,0,1,6,0.3333,10,+90
FAC004967,CLI0001,2,2025-01-02,5619.61,45,17,1,0,0,0,0,1,0,0,0,29,18.22,22.0,0.2963,16504.82,0.3405,0,2,30.0,48,-3,0.597,4.0,0,1,0,6,0.3333,10,+90
FAC004967,CLI0001,3,2025-01-22,5619.61,45,17,1,0,0,0,0,1,0,0,0,29,18.22,22.0,0.2963,16504.82,0.3405,0,3,20.0,68,-23,0.597,0.0,0,0,0,6,0.3333,10,+90
FAC004967,CLI0001,4,2025-02-13,5619.61,45,17,1,0,0,0,0,1,0,0,0,29,18.22,22.0,0.2963,16504.82,0.3405,0,4,22.0,90,-45,0.597,2.0,0,0,1,6,0.3333,10,+90
FAC004967,CLI0001,5,2025-03-04,5619.61,45,17,1,0,0,0,0,1,0,0,0,29,18.22,22.0,0.2963,16504.82,0.3405,0,5,19.0,109,-64,0.597,4.0,0,1,1,6,0.3333,10,+90
FAC004967,CLI0001,6,2025-03-29,5619.61,45,17,1,0,0,0,0,1,0,0,0,29,18.22,22.0,0.2963,16504.82,0.3405,0,6,25.0,134,-89,0.597,5.0,1,1,1,6,0.3333,10,+90
FAC004967,CLI0001,7,2025-04-17,5619.61,45,17,1,0,0,0,0,1,0,0,0,29,18.22,22.0,0.2963,16504.82,0.3405,0,7,19.0,153,-108,0.597,5.0,2,1,1,6,0.3333,10,+90
FAC005155,CLI0001,0,2024-12-08,24646.39,90,17,1,0,0,0,0,1,0,0,0,30,21.32,22.0,0.2857,16141.98,1.5269,0,0,,0,90,0.6087,,0,0,0,7,0.3636,11,+90
FAC005155,CLI0001,1,2024-12-20,24646.39,90,17,1,0,0,0,0,1,0,0,0,30,21.32,22.0,0.2857,16141.98,1.5269,0,1,12.0,12,78,0.6087,1.0,0,0,0,7,0.3636,11,+90
FAC005155,CLI0001,2,2025-03-11,24646.39,90,17,1,0,0,0,0,1,0,0,0,30,21.32,22.0,0.2857,16141.98,1.5269,0,2,81.0,93,-3,0.6087,6.0,1,0,0,7,0.3636,11,+90
FAC005155,CLI0001,3,2025-03-31,24646.39,90,17,1,0,0,0,0,1,0,0,0,30,21.32,22.0,0.2857,16141.98,1.5269,0,3,20.0,113,-23,0.6087,6.0,2,0,0,7,0.3636,11,+90
FAC005155,CLI0001,4,2025-04-15,24646.39,90,17,1,0,0,0,0,1,0,0,0,30,21.32,22.0,0.2857,16141.98,1.5269,0,4,15.0,128,-38,0.6087,7.0,3,0,0,7,0.3636,11,+90
FAC005155,CLI0001,5,2025-04-17,24646.39,90,17,1,0,0,0,0,1,0,0,0,30,21.32,22.0,0.2857,16141.98,1.5269,0,5,2.0,130,-40,0.6087,5.0,4,0,0,7,0.3636,11,+90
FAC005155,CLI0001,6,2025-04-27,24646.39,90,17,1,0,0,0,0,1,0,0,0,30,21.32,22.0,0.2857,16141.98,1.5269,0,6,10.0,140,-50,0.6087,2.0,0,0,1,7,0.3636,11,+90
FAC005155,CLI0001,7,2025-05-08,24646.39,90,17,1,0,0,0,0,1,0,0,0,30,21.32,22.0,0.2857,16141.98,1.5269,0,7,11.0,151,-61,0.6087,3.0,0,0,1,7,0.3636,11,+90
